Unnamed: 0,cgpa,iq,placement
0,6.7,149.0,0
1,9.3,122.0,1
2,8.3,119.0,1
3,7.7,133.0,1
4,5.7,127.0,0
5,5.7,95.0,0
6,5.3,121.0,0
7,8.9,146.0,1
8,7.7,107.0,0
9,8.2,135.0,1
10,5.1,97.0,0
11,9.4,133.0,1
12,8.7,100.0,0
13,6.0,102.0,0
14,5.8,121.0,0
15,5.8,103.0,0
16,6.4,131.0,0
17,7.4,127.0,1
18,6.9,145.0,0
19,6.3,136.0,0
20,7.8,138.0,1
21,5.6,118.0,0
22,6.3,109.0,0
23,6.6,148.0,0
24,7.1,126.0,1
25,8.5,126.0,1
26,5.9,118.0,0
27,7.3,135.0,1
28,7.7,146.0,1
29,5.2,143.0,0
30,7.7,143.0,1
31,5.8,146.0,0
32,5.3,106.0,0
33,9.3,133.0,1
34,9.3,96.0,0
35,8.6,97.0,0
36,6.4,143.0,0
37,5.4,131.0,0
38,8.1,143.0,1
39,7.0,111.0,0
40,5.5,143.0,0
41,7.2,96.0,0
42,5.2,96.0,0
43,9.1,122.0,1
44,6.2,148.0,0
45,8.0,117.0,1
46,6.4,131.0,0
47,7.3,126.0,1
48,7.5,127.0,1
49,5.8,95.0,0
50,9.4,113.0,0
51,8.5,96.0,0
52,9.2,147.0,1
53,9.0,138.0,1
54,7.7,120.0,1
55,9.1,126.0,1
56,5.4,100.0,0
57,5.9,126.0,0
58,5.2,149.0,0
59,6.5,98.0,0
60,6.7,149.0,0
61,6.2,105.0,0
62,8.7,111.0,0
63,6.6,132.0,0
64,6.3,118.0,0
65,7.4,99.0,0
66,5.6,146.0,0
67,8.6,128.0,1
68,5.3,100.0,0
69,9.4,116.0,1
70,8.5,105.0,0
71,5.9,142.0,0
72,5.0,110.0,0
73,8.7,127.0,1
74,8.2,103.0,0
75,8.3,100.0,0
76,8.5,110.0,0
77,5.3,123.0,0
78,6.6,97.0,0
79,5.5,114.0,0
80,8.9,130.0,1
81,7.8,113.0,0
82,6.5,120.0,0
83,5.3,97.0,0
84,6.4,113.0,0
85,6.5,114.0,0
86,8.3,126.0,1
87,7.9,101.0,0
88,9.0,146.0,1
89,7.1,135.0,1
90,5.5,127.0,0
91,8.2,134.0,1
92,8.4,133.0,1
93,7.5,112.0,0
94,8.5,134.0,1
95,7.2,95.0,0
96,7.4,105.0,0
97,6.9,122.0,0
98,5.1,119.0,0
99,5.5,144.0,0
100,5.1,117.0,0
101,7.9,125.0,1
102,6.4,124.0,0
103,7.3,136.0,1
104,9.1,129.0,1
105,6.1,101.0,0
106,6.8,110.0,0
107,8.4,120.0,1
108,6.0,142.0,0
109,5.3,146.0,0
110,6.3,143.0,0
111,5.7,96.0,0
112,9.2,95.0,0
113,8.6,142.0,1
114,7.9,106.0,0
115,8.9,99.0,0
116,8.6,131.0,1
117,5.8,126.0,0
118,9.0,149.0,1
119,7.4,103.0,0
